,title,text,tags,target,target_numerical
0,"ВЕРНИДУБ: «Наносимо 25 ударів, 15 у ворота, а забити не можемо. Сумно»","Головний тренер солігорського «Шахтаря» Юрій Вернидуб на післяматчевій прес-конференції пояснив, чому його підопічні програли команді «Слуцьк» (1:2): «Такого початку я не пам'ятаю у своєму житті. Але що є, то є. Виправдовуватися я не буду. Якщо команда в тій грі – зі «Смолевичами» – завдає 21 удару, зараз – 24 або 25 ударів, з них 15 у ворота, і ми забити не можемо. Не знаю. Значить, не вміємо ми забивати. Якщо пенальті ми не можемо реалізувати. Забивай, і було б 40 хвилин часу. Все могло б бути по-іншому. Але що маємо, те маємо. У заявці не було Сачівка, він травму отримав ще в грі зі «Смолевичами». У нього міжреберна невралгія. Не міг вийти. У Шіндагорідзе проблема з хрестоподібною зв'язкою. Коли це вирішиться, я навіть не знаю. Треба ще робити повторне МРТ. А так як, я так зрозумів, у нього вже була така проблема, то треба їхати туди, де робили. Але зараз все закрито – проблема. Чого не вистачило в обороні? У першому голі просто йшла подача – і все. До цього були удари? Не було. Ми, навпаки, нагнітали, були моменти, перекладина – не доводили до логічного завершення. У них же перша вилазка і штрафний цей. До воріт 30–35 метрів, йшла подача, ніхто не торкнувся, і гол. Що говорити? Сумно».",Футбол|Інші новини|Шахтар Солігорськ|Юрій Вернидуб|чемпіонат Білорусі з футболу|Слуцьк,спорт,2
1," У ""Київстар"" заявляють, що їх обшукала ДФС ","Про це на своїй сторінці у Facebook написав президент компанії Петро Чернишов. Він зазначив, що сьогодні вранці з обшуками до головного офісу прийшло близько трьох десятків податкових поліцейських. Вони мали постанову Шевченківського районного суду Києва щодо дозволу провести обшук офісу. ""Що ж вони шукають в такому великому складі? Три угоди, укладені дуже давно ще минулим керівництвом компанії, які вже припинили дію, і кілька десятків додаткових документів до них"", - наголосив Чернишов. Він нагадав, що ""Київстар"" вже майже два роки судиться з ДФС. Остання вважає, що компанія недоплатила до бюджету майже півтора мільярда гривень. ""Ми вважаємо, що цю справу вигадали, адже компанія завжди справно і в повному обсязі перераховує всі податки і збори до бюджету країни. За 20 років роботи ""Київстар"" сплатив до скарбниці 52 млрд грн різних податків і зборів"", - зауважив Чернишов. При цьому від подякував службовцям податкової за те, що прийшли на обшук ""без зброї та масок"", і додав, що компанія продовжує працювати. Зазначимо, у грудні Антимонопольний комітет України оштрафував оператора мобільного зв'язку ""Київстар"" на 21 млн грн через брехню абонентам. ",|Київстар|Новини|податкова|ДФС|обшук|,новини,1
2, В 2016 році 1% найзаможніших людей вперше стане багатшим за 99% інших ,"Про це повідомляється в доповіді некомерційної організації Oxfam, діяльність якої присвячена боротьбі з бідністю, передає Еспресо.TV. Такою ж сумою, як і найбідніша половина людства, володіють загалом 62 найбагатших людей у світу. Їх загальний статок виріс за той же період на $1,76 трлн. А ще в 2010 році сумою, порівняно з тією, якою володіла бідніша половина людства, володіли 388 найбагатших людей. Також в Oxfarm зазначають, що сукупні статки 1% найбільш забезпечених людей світу вперше можуть бути більшими, ніж сукупний статок 99% інших жителів планети до 2016 року. В даний час 1% найбагатших людей належить 48% світового добробуту, а в наступному році даний показник може вперше перевищити 50%, попереджають експерти. Як зазначили в Oxfam, зростаюча нерівність стримує боротьбу з глобальною бідністю, причому відбувається це в період, коли більше 1 млрд людей як і раніше живуть на менш ніж $1,25 на день. Причинами зростаючої різниці в достатку між бідними і багатими організація називає податкові пільги, доступні найбільш заможному прошарку населення, збільшення різниці найбільшою і найменшою оплати праці та скорочення фінансової винагороди робітників. Oxfam планує закликати учасників форуму в Давосі до прийняття нових заходів щодо вирішення глобальної нерівності, серед яких посилення політики по ухиленню від податків і введення зарплати не нижче прожиткового мінімуму для всіх працівників. Раніше агентство Bloomberg повідомляло, що найбагатші люди світу втратили $194 млрд в перший тиждень 2016 року, який став найгіршим за майже 120 років біржових торгів. ",|багатство|найбагатші люди світу|Новини|бідність|,новини,1
3,"Шакіл О’Ніл продав шикарний маєток у Флориді вартістю 16,5 млн доларів — фото "," Легенда НБА Шакіл О’Ніл продав свій маєток у Флориді вартістю 16,5 млн доларів, повідомляє FOX Business.Ім'я нового власника маєтку залишається невідомим. Відзначається, що спочатку за будинок ексбаскетболіст хотів отримати 28,5 мільйона доларів, однак через відсутність попиту він чотири рази знижував ціну.Розташований будинок в Орландо, він знаходиться на території старого закритого поля для гольфу і має 12 спалень і 15 ванних кімнат.На території маєтка розташований критий баскетбольний майданчик. Також у будинку є гараж на 17 автомобілів, винний льох, звукоізольований домашній кінотеатр і басейн.О’Ніл купив маєток в Орландо в 1993 році за 3,95 млн доларів. Продати будинок він вирішив через те, що нині він проживає в Атланті.Раніше О’Ніл потрапив до списку спортсменів з найбільшим заробітком в Instagram під час пандемії.",США|Баскетбол|Флорида|Фото,спорт,2
4,"У «заблокованій» СБУ B2B Jewelry заявили, що працюють у звичайному режимі та будуть судитися "," Засновник фінансової піраміди B2B Jewelry Микола Гонта стверджує, що ювелірні магазини мережі працюють у звичайному режимі, а їх юристи готують позови через інформацію про те, що мережу заблокували.  Про це він заявив у відеозверненні 28 серпня:  «У Мережі масово почали з’являтися повідомлення про блокування мережі ювелірних магазинів B2B Jewelry. Магазини працюють у звичайному режимі, в цьому ви можете переконатися, відвідавши будь-який салон у своєму місті». За словами Гонти, юристи мережі готують позови «про спростування і компенсацію моральної шкоди». Нагадаємо, 27 серпня в СБУ заявили, що заблокували діяльність фінансової піраміди з 600 тисячами вкладників. Саму піраміду не назвали, але мова йшла про B2B Jewelry — на фотографіях СБУ видно магазини ювелірних виробів і «сертифікати» мережі, які видавалися учасникам. За інформацією СБУ, з початку 2019 року організатори піраміди купили на незаконно отримані кошти острів Дніпровського каскаду з нерухомістю на ньому, 18 елітних позашляховиків вартістю понад $100 тис. кожен, коштовності та інше майно. Засновників піраміди підозрюють у вчиненні кримінальних злочинів за ч. 3 ст. 28 (вчинення злочину групою осіб), ч. 2 ст. 222 (шахрайство з фінансовими ресурсами) та ч. 3 ст. 209 (відмивання доходів) Кримінального кодексу України. 10 серпня Нацкомісія з цінних паперів та фондового ринку опублікувала список потенційно фіктивних фінансових проєктів, до якого потрапила й B2B Jewelry.«Цей проєкт пропонує громадянам придбання ювелірних виробів і подарункових сертифікатів, за якими нараховуються надвисокі відсотки інвестиційного прибутку. При цьому на подарунковому сертифікаті відсутні будь-які реквізити особи, що його видала. Безпосередньо B2B Jewelry не є назвою конкретної юридичної особи, отже, відсутні чітко визначені відповідальні особи за зобов’язаннями за залученими коштами від громадян України. Крім того, майже всі транзакції в магазинах B2B Jewelry здійснюються у готівковій формі, що не дозволяє встановити зв’язки з реальними бенефіціарами проєкту», — заявили в Нацкомісії. Покупку сертифікатів офіційно оформлюють як благодійні внески на користь фіктивного фонду Зимородок.",Служба безпеки України (СБУ)|Финансовая пирамида|Фінансові махінації,бізнес,0
5, На Донеччині зафіксували сьомий випадок коронавірусу ,"Про це повідомив голова Донецької ОДА Павло Кириленко в Facebook. ""67-річна мешканка Білозерська контактувала з родичем, який повернувся із закордону. Госпіталізована до інфекційної лікарні Мирнограду"", - йдеться у повідомленні. Стан хворої на вечір лікарі оцінюють як середньої важкості. Перевірена інформація про коронавірус в Україні! ",|Донецька область|COVID-19|Новини|,новини,1
6, В українських кінотеатрах вперше покажуть фільм для сліпих ,"Творці стрічки ""Поводир"" дають змогу людям із вадами зору подивитися картину нарівні з іншими глядачами, повідомляє ""Радіо свобода"", інформує Еспресо.TV. За словами режисера стрічки Олеся Саніна, це поширений у світі спосіб давати людям із вадами зору додаткову інформацію про сцени на екрані. Фактично, це ще одна додаткова аудіодоріжка, коментар, який начитує диктор для незрячих людей. Обладнання вдалося закупити на кошти одного з найкрупніших українських банків. Після демонстрації ""Поводиря"" його залишать у кінотеатрах і використовуватимуть для інших фільмів. ""Це обладнання в шести найбільших містах України буде стаціонарним. І ми довго працювали, у Львові нам допомогли наші незрячі експерти – це Оксана Потимко, вона декілька анімаційних фільмів перед цим робила. І це стало окремою частиною нашого фільму"", – говорить режисер. До зйомок ""Поводиря""долучилися також незрячі люди, що зіграли у стрічці сліпих бандуристів, яких переслідує радянська влада. Світова прем’єра ""Поводиря""відбулася 16 липня на Одеському міжнародному кінофестивалі. Офіційна прем’єра в Україні запланована на 12 листопада. За рішенням Українського Оскарівського комітету, ""Поводир""висунули на здобуття премії ""Оскар"" Американської кіноакадемії. В основі ""Поводиря"" історія учасників з’їзду народних співців України (кобзарів) 30 грудня 1930 року, яких згодом розстріляли сталіністи. Лейтмотивом стала історія американського хлопчика, котрий мимоволі став свідком страшних репресій у радянській Україні. У ""Поводирі"" грають Станіслав Боклан, Олександр Кобзар, співачка Джамала (одна з головних ролей), кобзар Тарас Компаніченко, а головну роль виконав онук дисидента Михайла Сороки – Антон Грін. Поряд із ними ролі сліпих кобзарів виконують шістдесят людей із вадами зору, серед них і харківський кореспондент Радіо Свобода Володимир Носков.",|Кіно|Новини|сліпі|,новини,1
7," Тематикою новорічного свята на Софійській площі стане казка про Лускунчика, - Folk Ukraine ","Про це на своїй сторінці у Facebook повідомили організатори заходу Folk Ukraine. Зазначається, що всього її прикрасять 800 тематичних іграшок і понад 4 кілометри різнокольорових гірлянд. ""Саме Лускунчик втілює перемогу добра над злом і є символом Нового року та Різдва в Європі. Ми ж поєднаємо його історію з українськими традиціями"", - розповіли організатори. Також Folk Ukraine оприлюднив програму заходів: 14 грудня — відкриття різдвяного ярмарку 19 грудня — урочисте засвічення ялинки 25 грудня — католицьке Різдво 31 грудня — зустріч Нового року 7 січня — святкова хода звіздарів та різдвяний концерт А в інші дні нас чекатимуть святкові концерти на великій сцені. Організатори обіцяють занурити відвідувачів у чарівний світ пригод Лускунчика та його королівств: Королівство подарунків — ярмарок сувенірів та найкращих подарунків до свята. Королівство смаку — лише найсмачніші страви та напої. Королівство розваг — казкове місто для дітей. Нескінченні веселощі, атракціони, аніматори, інсталяції та подарунки. Королівство лайків — численні фотозони на Софійській площі та Володимирському проїзді Між королівствами курсуватиме казковий різдвяний експрес. Лише ним можна дістатися з одного королівства до іншого.",|святкування нового року|Софійська площа|новорічні святкування|Новини|святкування Різдва|Новий рік|,новини,1
8, В українських кінотеатрах вперше покажуть фільм для сліпих ,"Творці стрічки ""Поводир"" дають змогу людям із вадами зору подивитися картину нарівні з іншими глядачами, повідомляє ""Радіо свобода"", інформує Еспресо.TV. За словами режисера стрічки Олеся Саніна, це поширений у світі спосіб давати людям із вадами зору додаткову інформацію про сцени на екрані. Фактично, це ще одна додаткова аудіодоріжка, коментар, який начитує диктор для незрячих людей. Обладнання вдалося закупити на кошти одного з найкрупніших українських банків. Після демонстрації ""Поводиря"" його залишать у кінотеатрах і використовуватимуть для інших фільмів. ""Це обладнання в шести найбільших містах України буде стаціонарним. І ми довго працювали, у Львові нам допомогли наші незрячі експерти – це Оксана Потимко, вона декілька анімаційних фільмів перед цим робила. І це стало окремою частиною нашого фільму"", – говорить режисер. До зйомок ""Поводиря""долучилися також незрячі люди, що зіграли у стрічці сліпих бандуристів, яких переслідує радянська влада. Світова прем’єра ""Поводиря""відбулася 16 липня на Одеському міжнародному кінофестивалі. Офіційна прем’єра в Україні запланована на 12 листопада. За рішенням Українського Оскарівського комітету, ""Поводир""висунули на здобуття премії ""Оскар"" Американської кіноакадемії. В основі ""Поводиря"" історія учасників з’їзду народних співців України (кобзарів) 30 грудня 1930 року, яких згодом розстріляли сталіністи. Лейтмотивом стала історія американського хлопчика, котрий мимоволі став свідком страшних репресій у радянській Україні. У ""Поводирі"" грають Станіслав Боклан, Олександр Кобзар, співачка Джамала (одна з головних ролей), кобзар Тарас Компаніченко, а головну роль виконав онук дисидента Михайла Сороки – Антон Грін. Поряд із ними ролі сліпих кобзарів виконують шістдесят людей із вадами зору, серед них і харківський кореспондент Радіо Свобода Володимир Носков.",|Кіно|Новини|сліпі|,новини,1
9," Тематикою новорічного свята на Софійській площі стане казка про Лускунчика, - Folk Ukraine ","Про це на своїй сторінці у Facebook повідомили організатори заходу Folk Ukraine. Зазначається, що всього її прикрасять 800 тематичних іграшок і понад 4 кілометри різнокольорових гірлянд. ""Саме Лускунчик втілює перемогу добра над злом і є символом Нового року та Різдва в Європі. Ми ж поєднаємо його історію з українськими традиціями"", - розповіли організатори. Також Folk Ukraine оприлюднив програму заходів: 14 грудня — відкриття різдвяного ярмарку 19 грудня — урочисте засвічення ялинки 25 грудня — католицьке Різдво 31 грудня — зустріч Нового року 7 січня — святкова хода звіздарів та різдвяний концерт А в інші дні нас чекатимуть святкові концерти на великій сцені. Організатори обіцяють занурити відвідувачів у чарівний світ пригод Лускунчика та його королівств: Королівство подарунків — ярмарок сувенірів та найкращих подарунків до свята. Королівство смаку — лише найсмачніші страви та напої. Королівство розваг — казкове місто для дітей. Нескінченні веселощі, атракціони, аніматори, інсталяції та подарунки. Королівство лайків — численні фотозони на Софійській площі та Володимирському проїзді Між королівствами курсуватиме казковий різдвяний експрес. Лише ним можна дістатися з одного королівства до іншого.",|святкування нового року|Софійська площа|новорічні святкування|Новини|святкування Різдва|Новий рік|,новини,1
